Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","116","Cambodia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","16589.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","43.52","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","20.75","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","27198.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","120","Cameroon","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","57.8","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","13.84","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","38155.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45.16","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","66.76","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5457.15","X","Figure from international organizations"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","29.84","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","19.56","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","17179.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","148","Chad","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","49.11","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","28.3","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","19493.19","X","Figure from international organizations"
"FBS","Food Balances (2010-)","152","Chile","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","46.78","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","60.02","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","7494.58","X","Figure from international organizations"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","39.56","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","103.25","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","686.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","446","China, Macao SAR","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","38.8","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","73.78","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1425893.47","X","Figure from international organizations"
"FBS","Food Balances (2010-)","156","China, mainland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","76.16","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","48.76","E","Estimated value"
"FBS","Food Balances (2010-)","158","China, Taiwan Province of","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","23859.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","158","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","43.6","E","Estimated value"
"FBS","Food Balances (2010-)","158","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","56.89","E","Estimated value"
"FBS","Food Balances (2010-)","170","Colombia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","51516.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","170","Colombia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","35.47","E","Estimated value"
"FBS","Food Balances (2010-)","170","Colombia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","44.93","E","Estimated value"
"FBS","Food Balances (2010-)","174","Comoros","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","821.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","174","Comoros","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","43.29","E","Estimated value"
"FBS","Food Balances (2010-)","174","Comoros","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","24.47","E","Estimated value"
"FBS","Food Balances (2010-)","178","Congo","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5835.81","X","Figure from international organizations"
"FBS","Food Balances (2010-)","178","Congo","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","25.72","E","Estimated value"
